Pathogens,Kingdom,Citation1,Citation2,Citation3,Former Species Name
Staphylococcus aureus,"avian, rabbit, ferret","Ehrlich G. D., Hu F. Z., Sotereanos N., Sewicke J., Parvizi J., Nara P.L., Arciola, C. R. What role do periodontal pathogens play in osteoarthritis and periprosthetic joint infections of the knee. (2014) J Appl Biomater Funct Mater? 12(1): 13-20",,,
Aspergillus,"avian, reptile","Greene, Craig E.? Infectious Diseases of the Dog and Cat-E-Book. Elsevier Health Sciences, 2013.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Enterobacter,"avian, reptile","Lacerda L.C.C., de Souza-Pollo A., Padua I.R.M., Conceicao L.F., da Silveira C.P.B.,Silva G.A., Maluta R.P.,Laus J.L. Molecular characterization and potential sources of aqueous humor bacterial contamination during phacoemulsification with intraocular lens implantation in dogs. (2018) Veterninary Microbiology","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Mycoplasma,"avian, reptile","Ramos R., Ramos C., Araujo F., Oliveira R., Souza I., Pimentel D., Galindo M., Santana M., Rosas E., Faustino M., Alves L. Molecular survey and genetic characterization of tick-borne pathogens in dogs in metropolitan Recife (north-eastern Brazil). (2010) Parasitology Research, 107(5):1115-1120","Kaczorek, Edyta, et al. Prevalence of reiratory pathogens detected in dogs with kennel cough in Poland. (2017) Acta Veterinaria Brno 85(4):329-336.",,
Escherichia coli,"avian, reptile, rabbit, ferret","Liu X., Thungrat K., Boothe D. M. Occurrence of OXA-48 carbapenemase and other ??-lactamase genes in ESBL-producing multidrug resistant Escherichia coli from dogs and cats in the United States, 2009??""2013.? (2016) Frontiers in microbiology,? 7:1057.","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Citrobacter,"avian, turtle, amphibian, reptile","Morrissey I., Moyaert H., de Jong A., El Garch F., Klein U., Ludwig C., Thiry J., Youala, M. Antimicrobial susceptibility monitoring of bacterial pathogens isolated from reiratory tract infections in dogs and cats across Europe: ComPath results.? (2016) Veterinary microbiology,? 191:44-51","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Proteus,"avian, turtle, amphibian, reptile, ferret","Morrissey I., Moyaert H., de Jong A., El Garch F., Klein U., Ludwig C., Thiry J., Youala, M. Antimicrobial susceptibility monitoring of bacterial pathogens isolated from reiratory tract infections in dogs and cats across Europe: ComPath results.? (2016) Veterinary microbiology,? 191:44-51","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Klebsiella,"avian, turtle, reptile","Morrissey I., Moyaert H., de Jong A., El Garch F., Klein U., Ludwig C., Thiry J., Youala, M. Antimicrobial susceptibility monitoring of bacterial pathogens isolated from reiratory tract infections in dogs and cats across Europe: ComPath results.? (2016) Veterinary microbiology,? 191:44-51","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016."
Salmonella,"avian, turtle, reptile","Jay-Russel M.T., Hake A.F., Bengson Y., Thiptara A., Nguyen T. Prevalence and Characterization of Escherichia coli and Salmonella Strains Isolated from Stray Dog and Coyote Feces in a Major Leafy Greens Production Region at the United States-Mexico Border. PLoS One. 2014 Nov 20;9(11):e113433",,,
Streptococcus,"avian, turtle, reptile, fish, rabbit","Carpenter, James W., and Chris Marion.? Exotic Animal Formulary-E-Book. Elsevier Health Sciences, 2017.","Wallach, Joel D., and William J. Boever.? Diseases of exotic animals. Medical and surgical management. WB Saunders Co., 1983.","Ballard, Bonnie, and Ryan Cheek, eds.? Exotic animal medicine for the veterinary technician. John Wiley & Sons, 2016.","Jepson, Lance.? Exotic animal medicine: a quick reference guide. Elsevier Health Sciences, 2015."
