#query	genus	phylum	domain
Staphylococcus aureus	Staphylococcus	Bacillota	Bacteria
Staphylococcus caprae	Staphylococcus	Bacillota	Bacteria
Staphylococcus epidermidis	Staphylococcus	Bacillota	Bacteria
Staphylococcus equorum	Staphylococcus	Bacillota	Bacteria
Staphylococcus felis	Staphylococcus	Bacillota	Bacteria
Staphylococcus haemolyticus	Staphylococcus	Bacillota	Bacteria
Staphylococcus hominis	Staphylococcus	Bacillota	Bacteria
Staphylococcus intermedius	Staphylococcus	Bacillota	Bacteria
Staphylococcus lugdunensis	Staphylococcus	Bacillota	Bacteria
Staphylococcus pettenkoferi	Staphylococcus	Bacillota	Bacteria
Staphylococcus pseudintermedius	Staphylococcus	Bacillota	Bacteria
Staphylococcus saccharolyticus	Staphylococcus	Bacillota	Bacteria
Staphylococcus saprophyticus	Staphylococcus	Bacillota	Bacteria
Staphylococcus schleiferi	Staphylococcus	Bacillota	Bacteria
Staphylococcus sciuri			
Staphylococcus simulans	Staphylococcus	Bacillota	Bacteria
Staphylococcus warneri	Staphylococcus	Bacillota	Bacteria
Stenotrophomonas maltophilia	Stenotrophomonas	Pseudomonadota	Bacteria
Streptobacillus felis	Streptobacillus	Fusobacteriota	Bacteria
Streptobacillus moniliformis	Streptobacillus	Fusobacteriota	Bacteria
Streptococcus	Streptococcus	Bacillota	Bacteria
Streptococcus agalactiae	Streptococcus	Bacillota	Bacteria
Streptococcus anginosus	Streptococcus	Bacillota	Bacteria
Streptococcus canis	Streptococcus	Bacillota	Bacteria
Streptococcus constellatus	Streptococcus	Bacillota	Bacteria
Streptococcus dysgalactiae	Streptococcus	Bacillota	Bacteria
Streptococcus equi	Streptococcus	Bacillota	Bacteria
